,Date,Open,High,Low,Close,SMAVG (50) on
We,3/21/2018,2.4,2.4,2.1,2.1,3.5
Tu,3/20/2018,2.85,2.85,2.72,2.77,3.55
Mo,3/19/2018,2.93,2.99,2.55,2.63,3.59
 , , , , , , 
Fr,3/16/2018,3.65,3.65,3.23,3.23,3.62
Th,3/15/2018,3.65,3.95,3.55,3.8,3.64
We,3/14/2018,4.15,4.15,3.5,3.65,3.64
Tu,3/13/2018,4.75,4.95,4.05,4.1,3.64
Mo,3/12/2018,4.07,4.64,4,4.53,3.63
 , , , , , , 
Fr,3/9/2018,3.5,3.85,3.5,3.85,3.62
Th,3/8/2018,3.17,3.31,3.17,3.28,3.62
We,3/7/2018,3.29,3.4,3.15,3.15,3.65
Tu,3/6/2018,4,4,3.55,3.6,3.69
Mo,3/5/2018,3.55,3.95,3.55,3.8,3.72
 , , , , , , 
Fr,3/2/2018,3.4,3.85,3.4,3.73,3.75
Th,3/1/2018,4.25,4.35,3.55,3.73,3.79
We,2/28/2018,4.4,4.74,4.4,4.57,3.81
Tu,2/27/2018,4.3,4.5,4.05,4.19,3.81
Mo,2/26/2018,3.27,4.25,3.27,3.92,3.83
 , , , , , , 
Tu,5/1/2018,0.52,0.63,0.44,0.6,2.31
Mo,4/30/2018,0.52,0.54,0.4,0.42,2.36
,,,,,,
Fr,4/27/2018,0.45,0.45,0.39,0.39,2.42
Th,4/26/2018,0.55,0.57,0.5,0.52,2.45
We,4/25/2018,0.55,0.61,0.54,0.6,2.48
Tu,4/24/2018,0.62,0.64,0.51,0.54,2.5
Mo,4/23/2018,0.91,0.91,0.62,0.64,2.52
,,,,,,
Fr,4/20/2018,1,1,0.75,0.95,2.54
Th,4/19/2018,1.4,1.43,1.29,1.29,2.56
We,4/18/2018,1.97,1.97,1.73,1.92,2.57
Tu,4/17/2018,1.7,1.94,1.62,1.92,2.56
Mo,4/16/2018,1.6,1.66,1.49,1.5,2.56
,,,,,,
Fr,4/13/2018,1.76,1.79,1.57,1.57,2.59
Th,4/12/2018,1.8,1.8,1.65,1.67,2.63
We,4/11/2018,1.57,1.75,1.57,1.61,2.66
Tu,4/10/2018,1.85,1.93,1.7,1.7,2.7
Mo,4/9/2018,1.71,1.85,1.55,1.55,2.75
,,,,,,
Fr,4/6/2018,1.57,1.57,1.4,1.47,2.8
Th,4/5/2018,2.03,2.03,1.77,1.97,2.86
We,4/4/2018,1.47,1.75,1.45,1.75,2.93
Tu,4/3/2018,1.63,1.63,1.35,1.35,2.99
Mo,4/2/2018,1.65,1.73,1.5,1.57,3.07
,,,,,,
Th,3/29/2018,1.97,2.1,1.95,1.95,3.16
We,3/28/2018,1.77,2.07,1.77,1.85,3.24
Tu,3/27/2018,2.46,2.7,1.89,1.89,3.3
Mo,3/26/2018,2.02,2.4,1.74,2.4,3.36
,,,,,,
Fr,3/23/2018,1.8,1.84,1.64,1.64,3.4
Th,3/22/2018,1.78,2.19,1.78,2.19,3.46
We,3/21/2018,2.4,2.4,2.1,2.1,3.5
Tu,3/20/2018,2.85,2.85,2.72,2.77,3.55
Mo,3/19/2018,2.93,2.99,2.55,2.63,3.59
,,,,,,
Fr,3/16/2018,3.65,3.65,3.23,3.23,3.62
Th,3/15/2018,3.65,3.95,3.55,3.8,3.64
We,3/14/2018,4.15,4.15,3.5,3.65,3.64
Tu,3/13/2018,4.75,4.95,4.05,4.1,3.64
Mo,3/12/2018,4.07,4.64,4,4.53,3.63
,,,,,,
Fr,3/9/2018,3.5,3.85,3.5,3.85,3.62
Th,3/8/2018,3.17,3.31,3.17,3.28,3.62
We,3/7/2018,3.29,3.4,3.15,3.15,3.65
Tu,3/6/2018,4,4,3.55,3.6,3.69
Mo,3/5/2018,3.55,3.95,3.55,3.8,3.72
,,,,,,
Fr,3/2/2018,3.4,3.85,3.4,3.73,3.75
Th,3/1/2018,4.25,4.35,3.55,3.73,3.79
We,2/28/2018,4.4,4.74,4.4,4.57,3.81
Tu,2/27/2018,4.3,4.5,4.05,4.19,3.81
Mo,2/26/2018,3.27,4.25,3.27,3.92,3.83
,,,,,,
Fr,2/23/2018,3,3.25,2.91,3,3.85
Th,2/22/2018,2.88,2.89,2.77,2.79,3.88
We,2/21/2018,3.05,3.05,2.69,2.69,3.91
Tu,2/20/2018,3.05,3.2,2.79,2.79,3.95
,,,,,,
Fr,2/16/2018,3.5,3.55,3.1,3.26,3.99
Th,2/15/2018,2.46,3.4,2.46,3.3,4.03
We,2/14/2018,1.76,2.13,1.76,2.13,4.07
Tu,2/13/2018,1.71,1.86,1.71,1.83,4.12
Mo,2/12/2018,1.7,1.82,1.7,1.77,4.2
,,,,,,
Fr,2/9/2018,1.6,1.7,1.6,1.6,4.28
Th,2/8/2018,1.74,1.84,1.65,1.65,4.38
We,2/7/2018,1.9,1.9,1.75,1.75,
