Date,Open,High,Low,Close,SMAVG (50) on
Mo,6/4/2018,16.95,17.28,16.88,17
 , , , , , 
Fr,6/1/2018,14.64,15.65,14.64,15.65
Th,5/31/2018,14,14.4,14,14.4
We,5/30/2018,14.85,14.85,14.33,14.55
Tu,5/29/2018,14.88,14.88,14.4,14.4
 , , , , , 
Fr,5/25/2018,15.1,15.1,15.1,15.1
Th,5/24/2018, , , , 
We,5/23/2018,14.08,15.1,14.08,15.1
Tu,5/22/2018,15.2,15.2,14.84,15
Mo,5/21/2018,15.8,15.8,14.76,14.76
 , , , , , 
Fr,5/18/2018, , , , 
Th,5/17/2018, , , , 
We,5/16/2018,15.6,15.6,15.6,15.6
Tu,5/15/2018,14.65,14.66,14.15,14.5
Mo,5/14/2018,15.82,16.05,15.82,15.88
 , , , , , 
Fr,5/11/2018,16.12,16.12,15.9,15.97
Th,5/10/2018,16.48,16.65,16.22,16.49
We,5/9/2018,14.85,14.85,14.85,14.85
Mo,4/30/2018,5.74,7.41,5.74,7.41
,,,,,
Fr,4/27/2018,7.4,7.4,6.4,6.4
Th,4/26/2018,7.35,7.35,7.16,7.16
We,4/25/2018,7.37,7.37,7.27,7.27
Tu,4/24/2018,7.45,7.45,6.78,6.87
Mo,4/23/2018,8.18,8.18,8.18,8.18
,,,,,
Fr,4/20/2018,8.15,8.15,7.79,8
Th,4/19/2018,10,10.7,10,10.7
We,4/18/2018,11.6,12.05,11.6,12.05
Tu,4/17/2018,11.95,11.95,11.95,11.95
Mo,4/16/2018,11.25,11.25,11.25,11.25
,,,,,
Fr,4/13/2018,,,,
Th,4/12/2018,,,,
We,4/11/2018,10.25,10.25,10.25,10.25
Tu,4/10/2018,10.38,10.5,10.38,10.5
Mo,4/9/2018,,,,
,,,,,
Fr,4/6/2018,10,10,8.89,8.93
Th,4/5/2018,,,,
We,4/4/2018,8.26,10.24,8.26,10.24
Tu,4/3/2018,9.07,9.07,9.01,9.01
Mo,4/2/2018,9.5,9.5,9,9.05
,,,,,
Th,3/29/2018,10.73,11.6,10.73,11.6
We,3/28/2018,10,10,10,10
Tu,3/27/2018,11.8,11.95,10.1,10.1
Mo,3/26/2018,11.27,11.3,11.27,11.3
,,,,,
Fr,3/23/2018,9.33,9.43,9.26,9.28
Th,3/22/2018,10.72,10.73,10.72,10.73
We,3/21/2018,11.4,11.4,11.4,11.4
Tu,3/20/2018,,,,
Mo,3/19/2018,12.3,12.3,12.3,12.3
,,,,,
Fr,3/16/2018,13.48,13.48,13.48,13.48
Th,3/15/2018,14.1,14.1,14.1,14.1
We,3/14/2018,,,,
Tu,3/13/2018,,,,
Mo,3/12/2018,14.8,14.8,14.8,14.8
,,,,,
Fr,3/9/2018,13.7,13.7,13.7,13.7
Th,3/8/2018,12.58,12.86,12.58,12.86
We,3/7/2018,,,,
Tu,3/6/2018,,,,
Mo,3/5/2018,13.5,13.5,13.5,13.5
,,,,,
Fr,3/2/2018,13.13,13.5,13.12,13.12
Th,3/1/2018,15.35,15.35,15.35,15.35
We,2/28/2018,,,,
Tu,2/27/2018,,,,
Mo,2/26/2018,13.72,13.72,13.72,13.72
