,Date,Last Px,Volume ,SMAVG(15)
Tu,6/26/2018,189.79,8.202M,17.775M
Mo,6/25/2018,191.25,32.751M,18.414M
,,,,
Fr,6/22/2018,202.01,9.624M,17.521M
Th,6/21/2018,202.21,13.964M,18.422M
We,6/20/2018,206.23,15.56M,18.689M
Tu,6/19/2018,204.43,24.484M,18.581M
Mo,6/18/2018,208.57,14.645M,18.2M
,,,,
Fr,6/15/2018,208,28.666M,18.641M
Th,6/14/2018,210.86,18.838M,17.966M
We,6/13/2018,206.62,13.844M,17.564M
Tu,6/12/2018,209.08,15.911M,17.287M
Mo,6/11/2018,205.7,12.061M,17.149M
,,,,
Fr,6/8/2018,205.07,17.525M,17.294M
Th,6/7/2018,203.62,26.748M,17.024M
We,6/6/2018,208.3,13.801M,16.1M
Tu,6/5/2018,208.37,17.788M,16.026M
Mo,6/4/2018,208.95,19.357M,16.015M
,,,,
Fr,6/1/2018,204.34,23.132M,15.574M
Th,5/31/2018,198.01,17.983M,15.452M
We,5/30/2018,197.98,13.931M,15.172M
Tu,5/29/2018,198,18.769M,15.7M
,,,,
Fr,5/25/2018,199.2,21.27M,16.44M
Th,5/24/2018,197.37,18.528M,18.874M
We,5/23/2018,196.8,12.807M,19.389M
Tu,5/22/2018,195.87,9.7M,19.914M
Mo,5/21/2018,197.64,13.831M,19.987M
,,,,
Fr,5/18/2018,195,14.242M,20.042M
Th,5/17/2018,196.02,13.471M,20.096M
We,5/16/2018,198.11,12.887M,20.092M
Tu,5/15/2018,196.61,12.695M,20.375M
Mo,5/14/2018,198.64,17.627M,20.5M
,,,,
Fr,5/11/2018,194.36,12.741M,20.127M
Th,5/10/2018,195.96,21.295M,20.242M
We,5/9/2018,195.43,13.781M,19.622M
Tu,5/8/2018,196.31,21.856M,19.835M
Mo,5/7/2018,195.35,29.862M,19.463M
,,,,
Fr,5/4/2018,188.89,57.788M,18.131M
Th,5/3/2018,182.45,26.258M,15.18M
We,5/2/2018,181.45,20.682M,14.172M
Tu,5/1/2018,179.5,10.788M,13.471M
Mo,4/30/2018,178.54,14.654M,14.125M
,,,,
Fr,4/27/2018,177.16,15.063M,14.129M
Th,4/26/2018,173.9,13.398M,14.339M
We,4/25/2018,170.22,17.133M,14.662M
Tu,4/24/2018,173.09,14.568M,15.158M
Mo,4/23/2018,175.57,12.034M,15.519M
,,,,
Fr,4/20/2018,179.11,14.473M,15.785M
Th,4/19/2018,181.39,11.989M,15.912M
We,4/18/2018,182.68,16.973M,16.452M
Tu,4/17/2018,178.7,16.286M,16.429M
Mo,4/16/2018,174.7,9.876M,16.46M
,,,,
Fr,4/13/2018,172.04,13.526M,17.05M
Th,4/12/2018,175.92,11.134M,17.838M
We,4/11/2018,175.36,10.171M,17.899M
Tu,4/10/2018,177.1,20.596M,18.018M
Mo,4/9/2018,169.87,14.717M,17.957M
,,,,
Fr,4/6/2018,167.52,18.21M,18.772M
Th,4/5/2018,172.57,18.251M,19.8M
We,4/4/2018,172.07,24.574M,19.919M
Tu,4/3/2018,174.67,19.975M,19.269M
Mo,4/2/2018,177.61,16.029M,19.126M
,,,,
Th,3/29/2018,183.54,16.379M,19.004M
We,3/28/2018,178.91,20.081M,18.868M
Tu,3/27/2018,181.89,16.628M,18.444M
Mo,3/26/2018,190.5,16.759M,
,,,,
Fr,3/23/2018,181.2,18.714M,
Th,3/22/2018,184.65,25.356M,
We,3/21/2018,195.3,12.047M,
Tu,3/20/2018,198.95,11.952M,
Mo,3/19/2018,194.53,19.681M,
,,,,
Fr,3/16/2018,200.28,26.949M,
Th,3/15/2018,199.06,33.627M,
We,3/14/2018,192.56,20.032M,
Tu,3/13/2018,188.41,14.827M,
Mo,3/12/2018,192.74,17.826M,
,,,,
Fr,3/9/2018,190.55,14.208M,
Th,3/8/2018,187.18,14.331M,
We,3/7/2018,189.05,13.729M,
