Strike,Last,IVM
103,3.450000048,33.3917096
104,2.769999981,33.00389185
105,2.150000095,32.49640354
106,1.659999967,32.03495929
107,1.210000038,31.2146727
97.5,8.699999809,24.39871813
100,6.650000095,22.86106049
105,3.019999981,21.2851751
110,0.99000001,20.13455343
115,0.230000004,19.59660854
97.5,9.18999958,22.55305729
100,7.28000021,21.73751183
105,4,20.17512076
110,1.830000043,19.32037826
115,0.680000007,18.6724847
97.5,10,22.72647976
100,8,21.78942357
105,4.900000095,20.84525368
110,2.599999905,20.02621363
115,1.24000001,19.26536135
97.5,11.60000038,22.41672389
100,9.899999619,22.02077473
105,6.909999847,21.15648947
110,4.519999981,20.45967245
115,2.789999962,19.92092784
97.5,14.14999962,23.4336542
100,12.63000011,23.00044634
105,9.75,22.38651027
110,7.400000095,21.88690254
115,5.5,21.44458459
97.5,17.10000038,23.68695918
100,15.68000031,23.53956779
105,12.94999981,23.14901116
110,10.64999962,22.84088305
115,8.68999958,22.1702425
